DateTime,Average,McCleason Manor A,McCleason Manor B,pm avg
2026-07-11 11:00:00,53.9,8.3,9.3,8.8
2026-07-11 12:00:00,,12.2,13.1,12.649999999999999
2026-07-11 13:00:00,,11.7,12.6,12.149999999999999
2026-07-11 14:00:00,,11.5,12.6,12.05
2026-07-11 15:00:00,,13.0,13.8,13.4
2026-07-11 16:00:00,,10.1,10.8,10.45
2026-07-11 17:00:00,,7.6,8.5,8.05
2026-07-11 18:00:00,,9.9,10.8,10.350000000000001
2026-07-11 19:00:00,,11.1,12.0,11.55
2026-07-11 20:00:00,,12.3,13.3,12.8
2026-07-11 21:00:00,,14.5,15.3,14.9
2026-07-11 22:00:00,,15.7,16.5,16.1
2026-07-11 23:00:00,,17.7,18.4,18.049999999999997
2026-07-12 00:00:00,,19.0,19.9,19.45
2026-07-12 01:00:00,,20.3,21.1,20.700000000000003
2026-07-12 02:00:00,,20.6,21.0,20.8
2026-07-12 03:00:00,,20.6,21.5,21.05
2026-07-12 04:00:00,,20.8,21.4,21.1
2026-07-12 05:00:00,,22.1,22.9,22.5
2026-07-12 06:00:00,,22.5,22.9,22.7
2026-07-12 07:00:00,,21.3,22.1,21.700000000000003
2026-07-12 08:00:00,,21.2,22.2,21.7
2026-07-12 09:00:00,,21.0,21.5,21.25
2026-07-12 10:00:00,,20.2,21.2,20.7
2026-07-12 11:00:00,,17.6,18.8,18.200000000000003
2026-07-12 12:00:00,,18.2,18.5,18.35
2026-07-12 13:00:00,,19.3,19.2,19.25
2026-07-12 14:00:00,,18.3,18.2,18.25
2026-07-12 15:00:00,,17.8,18.1,17.950000000000003
2026-07-12 16:00:00,,17.7,18.1,17.9
2026-07-12 17:00:00,,18.2,18.2,18.2
2026-07-12 18:00:00,,18.7,18.6,18.65
2026-07-12 19:00:00,,19.3,19.3,19.3
2026-07-12 20:00:00,,22.9,23.4,23.15
2026-07-12 21:00:00,,23.7,24.5,24.1
2026-07-12 22:00:00,,31.0,31.5,31.25
2026-07-12 23:00:00,,32.2,32.6,32.400000000000006
2026-07-13 00:00:00,,28.0,28.7,28.35
2026-07-13 01:00:00,,28.4,29.0,28.7
2026-07-13 02:00:00,,28.2,29.1,28.65
2026-07-13 03:00:00,,28.1,29.0,28.55
2026-07-13 04:00:00,,27.8,28.7,28.25
2026-07-13 05:00:00,,27.5,28.3,27.9
2026-07-13 06:00:00,,27.7,28.6,28.15
2026-07-13 07:00:00,,29.1,29.9,29.5
2026-07-13 08:00:00,,28.3,28.8,28.55
2026-07-13 09:00:00,,24.7,25.1,24.9
2026-07-13 10:00:00,,20.5,20.8,20.65
2026-07-13 11:00:00,,22.0,22.5,22.25
2026-07-13 12:00:00,,24.7,25.4,25.049999999999997
2026-07-13 13:00:00,,23.9,24.4,24.15
2026-07-13 14:00:00,,22.4,22.6,22.5
2026-07-13 15:00:00,,20.2,20.2,20.2
2026-07-13 16:00:00,,21.3,21.1,21.200000000000003
2026-07-13 17:00:00,,24.8,24.5,24.65
2026-07-13 18:00:00,,22.9,22.8,22.85
2026-07-13 19:00:00,,23.5,23.2,23.35
2026-07-13 20:00:00,,21.1,21.0,21.05
2026-07-13 21:00:00,,22.7,22.5,22.6
2026-07-13 22:00:00,,28.6,29.2,28.9
2026-07-13 23:00:00,,31.8,32.3,32.05
2026-07-14 00:00:00,,32.9,33.3,33.099999999999994
2026-07-14 01:00:00,,31.3,32.1,31.700000000000003
2026-07-14 02:00:00,,29.2,30.0,29.6
2026-07-14 03:00:00,,24.9,26.0,25.45
2026-07-14 04:00:00,,23.4,24.4,23.9
2026-07-14 05:00:00,,22.9,23.9,23.4
2026-07-14 06:00:00,,22.3,23.1,22.700000000000003
2026-07-14 07:00:00,,21.4,22.1,21.75
2026-07-14 08:00:00,,21.4,21.7,21.549999999999997
2026-07-14 09:00:00,,20.2,20.2,20.2
2026-07-14 10:00:00,,18.0,18.4,18.2
2026-07-14 11:00:00,,16.5,16.5,16.5
2026-07-14 12:00:00,,15.4,15.6,15.5
2026-07-14 13:00:00,,15.8,15.5,15.65
2026-07-14 14:00:00,,17.9,17.9,17.9
2026-07-14 15:00:00,,21.7,21.7,21.7
2026-07-14 16:00:00,,24.6,24.2,24.4
2026-07-14 17:00:00,,25.9,25.1,25.5
2026-07-14 18:00:00,,25.0,24.7,24.85
2026-07-14 19:00:00,,24.6,24.2,24.4
2026-07-14 20:00:00,,23.2,23.3,23.25
2026-07-14 21:00:00,,26.3,26.1,26.200000000000003
2026-07-14 22:00:00,,23.9,24.1,24.0
2026-07-14 23:00:00,,19.6,19.5,19.55
2026-07-15 00:00:00,,19.3,19.5,19.4
2026-07-15 01:00:00,,19.6,19.8,19.700000000000003
2026-07-15 02:00:00,,19.0,18.8,18.9
2026-07-15 03:00:00,,18.6,18.6,18.6
2026-07-15 04:00:00,,17.9,17.7,17.799999999999997
2026-07-15 05:00:00,,18.4,18.0,18.2
2026-07-15 06:00:00,,18.2,18.1,18.15
2026-07-15 07:00:00,,17.1,17.2,17.15
2026-07-15 08:00:00,,15.8,15.6,15.7
2026-07-15 09:00:00,,13.7,13.7,13.7
2026-07-15 10:00:00,,12.5,12.9,12.7
2026-07-15 11:00:00,,12.9,13.1,13.0
2026-07-15 12:00:00,,12.1,12.8,12.45
2026-07-15 13:00:00,,10.8,11.3,11.05
2026-07-15 14:00:00,,9.6,9.5,9.55
2026-07-15 15:00:00,,10.4,9.9,10.15
2026-07-15 16:00:00,,11.4,11.0,11.2
2026-07-15 17:00:00,,11.7,11.5,11.6
2026-07-15 18:00:00,,12.7,12.6,12.649999999999999
2026-07-15 19:00:00,,14.2,14.2,14.2
2026-07-15 20:00:00,,16.1,15.6,15.850000000000001
2026-07-15 21:00:00,,17.9,17.8,17.85
2026-07-15 22:00:00,,34.5,34.1,34.3
2026-07-15 23:00:00,,49.3,48.7,49.0
2026-07-16 00:00:00,,63.3,64.5,63.9
2026-07-16 01:00:00,,88.5,90.1,89.3
2026-07-16 02:00:00,,121.0,122.5,121.75
2026-07-16 03:00:00,,141.2,144.2,142.7
2026-07-16 04:00:00,,192.3,197.6,194.95
2026-07-16 05:00:00,,209.5,214.3,211.9
2026-07-16 06:00:00,,227.5,233.4,230.45
2026-07-16 07:00:00,,245.8,252.0,248.9
2026-07-16 08:00:00,,269.4,274.5,271.95
2026-07-16 09:00:00,,295.6,294.2,294.9
2026-07-16 10:00:00,,345.1,342.0,343.55
2026-07-16 11:00:00,,352.9,353.2,353.04999999999995
2026-07-16 12:00:00,,402.9,402.1,402.5
2026-07-16 13:00:00,,404.8,403.7,404.25
2026-07-16 14:00:00,,392.6,392.6,392.6
2026-07-16 15:00:00,,429.7,428.5,429.1
2026-07-16 16:00:00,,434.2,426.5,430.35
2026-07-16 17:00:00,,466.2,460.1,463.15
2026-07-16 18:00:00,,409.8,409.8,409.8
2026-07-16 19:00:00,,403.4,408.7,406.04999999999995
2026-07-16 20:00:00,,346.4,353.8,350.1
2026-07-16 21:00:00,,290.3,298.3,294.3
2026-07-16 22:00:00,,265.2,271.4,268.29999999999995
2026-07-16 23:00:00,,254.3,261.3,257.8
2026-07-17 00:00:00,,285.6,293.6,289.6
2026-07-17 01:00:00,,315.9,324.2,320.04999999999995
