DateTime,Average,Sweet Water Foundation A,Sweet Water Foundation B,pm avg
2026-07-11 11:00:00,40.0,2.2,3.2,2.7
2026-07-11 12:00:00,,2.2,3.0,2.6
2026-07-11 13:00:00,,2.6,3.3,2.95
2026-07-11 14:00:00,,3.1,3.7,3.4000000000000004
2026-07-11 15:00:00,,4.6,5.6,5.1
2026-07-11 16:00:00,,5.6,7.0,6.3
2026-07-11 17:00:00,,4.8,5.9,5.35
2026-07-11 18:00:00,,4.7,5.3,5.0
2026-07-11 19:00:00,,5.8,7.1,6.449999999999999
2026-07-11 20:00:00,,8.0,9.6,8.8
2026-07-11 21:00:00,,10.5,12.0,11.25
2026-07-11 22:00:00,,13.9,15.9,14.9
2026-07-11 23:00:00,,16.4,18.2,17.299999999999997
2026-07-12 00:00:00,,15.7,17.4,16.549999999999997
2026-07-12 01:00:00,,15.9,17.1,16.5
2026-07-12 02:00:00,,16.0,17.4,16.7
2026-07-12 03:00:00,,15.9,17.4,16.65
2026-07-12 04:00:00,,15.9,17.6,16.75
2026-07-12 05:00:00,,16.1,18.2,17.15
2026-07-12 06:00:00,,16.6,18.6,17.6
2026-07-12 07:00:00,,17.1,19.7,18.4
2026-07-12 08:00:00,,16.8,19.4,18.1
2026-07-12 09:00:00,,15.6,18.2,16.9
2026-07-12 10:00:00,,11.6,13.9,12.75
2026-07-12 11:00:00,,11.6,14.6,13.1
2026-07-12 12:00:00,,13.5,16.0,14.75
2026-07-12 13:00:00,,13.5,15.5,14.5
2026-07-12 14:00:00,,12.0,16.1,14.05
2026-07-12 15:00:00,,13.0,16.0,14.5
2026-07-12 16:00:00,,13.8,15.0,14.4
2026-07-12 17:00:00,,11.8,15.3,13.55
2026-07-12 18:00:00,,10.5,13.1,11.8
2026-07-12 19:00:00,,11.6,14.0,12.8
2026-07-12 20:00:00,,14.1,16.8,15.45
2026-07-12 21:00:00,,15.8,17.9,16.85
2026-07-12 22:00:00,,16.5,18.8,17.65
2026-07-12 23:00:00,,16.7,19.1,17.9
2026-07-13 00:00:00,,17.1,19.4,18.25
2026-07-13 01:00:00,,18.3,20.3,19.3
2026-07-13 02:00:00,,18.8,21.8,20.3
2026-07-13 03:00:00,,20.3,23.0,21.65
2026-07-13 04:00:00,,22.7,25.7,24.2
2026-07-13 05:00:00,,24.6,28.3,26.450000000000003
2026-07-13 06:00:00,,27.5,31.1,29.3
2026-07-13 07:00:00,,28.8,32.0,30.4
2026-07-13 08:00:00,,26.4,29.5,27.95
