DateTime,Average,WWJ-131a A,WWJ-131a B,Burr Ridge A,Burr Ridge B,pm avg
2026-07-11 11:00:00,37.2,9.7,9.9,6.5,6.5,9.8
2026-07-11 12:00:00,,8.8,9.0,6.3,6.2,8.9
2026-07-11 13:00:00,,11.0,11.2,5.9,5.9,11.1
2026-07-11 14:00:00,,11.4,11.6,5.8,5.7,11.5
2026-07-11 15:00:00,,8.8,9.1,5.6,5.4,8.95
2026-07-11 16:00:00,,8.9,9.3,5.5,5.3,9.100000000000001
2026-07-11 17:00:00,,12.6,12.7,5.6,5.5,12.649999999999999
2026-07-11 18:00:00,,10.8,10.7,5.8,5.6,10.75
2026-07-11 19:00:00,,9.8,10.1,5.9,5.8,9.95
2026-07-11 20:00:00,,16.6,16.6,5.8,5.8,16.6
2026-07-11 21:00:00,,19.2,19.4,6.1,6.0,19.299999999999997
2026-07-11 22:00:00,,19.5,19.7,6.4,6.3,19.6
2026-07-11 23:00:00,,21.3,21.3,6.6,6.3,21.3
2026-07-12 00:00:00,,22.9,23.2,6.7,6.6,23.049999999999997
2026-07-12 01:00:00,,26.5,26.9,6.9,6.7,26.7
2026-07-12 02:00:00,,25.8,26.4,7.3,7.1,26.1
2026-07-12 03:00:00,,25.9,26.5,7.4,7.3,26.2
2026-07-12 04:00:00,,26.8,27.6,7.5,7.4,27.200000000000003
2026-07-12 05:00:00,,27.5,28.3,7.5,7.3,27.9
2026-07-12 06:00:00,,27.3,27.6,7.7,7.6,27.450000000000003
2026-07-12 07:00:00,,24.4,25.3,7.6,7.4,24.85
2026-07-12 08:00:00,,22.2,23.1,7.3,7.4,22.65
2026-07-12 09:00:00,,21.8,23.3,7.4,7.2,22.55
2026-07-12 10:00:00,,21.9,23.3,7.7,7.7,22.6
2026-07-12 11:00:00,,22.2,23.3,8.0,8.0,22.75
2026-07-12 12:00:00,,22.3,23.0,8.5,8.4,22.65
2026-07-12 13:00:00,,20.6,21.6,8.7,8.6,21.1
2026-07-12 14:00:00,,20.0,20.6,9.2,9.0,20.3
2026-07-12 15:00:00,,21.5,22.2,9.4,9.3,21.85
2026-07-12 16:00:00,,20.6,21.0,9.9,9.8,20.8
